ts,sym,bid,ask,bsz,asz
2025-09-03T09:30:00,DEMO,99.990000,100.010000,300,280
2025-09-03T09:30:00.010000,DEMO,99.990000,100.010000,301,283
2025-09-03T09:30:00.020000,DEMO,99.990000,100.010000,302,286
2025-09-03T09:30:00.030000,DEMO,99.990000,100.010000,303,289
2025-09-03T09:30:00.040000,DEMO,99.990000,100.010000,304,292
2025-09-03T09:30:00.050000,DEMO,99.990000,100.010000,305,295
2025-09-03T09:30:00.060000,DEMO,99.990000,100.010000,306,298
2025-09-03T09:30:00.070000,DEMO,100.000000,100.020000,307,301
2025-09-03T09:30:00.080000,DEMO,100.000000,100.020000,308,304
2025-09-03T09:30:00.090000,DEMO,100.000000,100.020000,309,307
2025-09-03T09:30:00.100000,DEMO,100.000000,100.020000,310,310
2025-09-03T09:30:00.110000,DEMO,100.000000,100.020000,311,313
2025-09-03T09:30:00.120000,DEMO,100.000000,100.020000,312,316
2025-09-03T09:30:00.130000,DEMO,99.980000,100.000000,313,319
2025-09-03T09:30:00.140000,DEMO,99.990000,100.010000,314,322
2025-09-03T09:30:00.150000,DEMO,99.990000,100.010000,315,325
2025-09-03T09:30:00.160000,DEMO,99.990000,100.010000,316,328
2025-09-03T09:30:00.170000,DEMO,99.990000,100.010000,317,281
2025-09-03T09:30:00.180000,DEMO,99.990000,100.010000,318,284
2025-09-03T09:30:00.190000,DEMO,99.990000,100.010000,319,287
2025-09-03T09:30:00.200000,DEMO,99.990000,100.010000,320,290
2025-09-03T09:30:00.210000,DEMO,100.000000,100.020000,321,293
2025-09-03T09:30:00.220000,DEMO,100.000000,100.020000,322,296
2025-09-03T09:30:00.230000,DEMO,100.000000,100.020000,323,299
2025-09-03T09:30:00.240000,DEMO,100.000000,100.020000,324,302
2025-09-03T09:30:00.250000,DEMO,100.000000,100.020000,325,305
2025-09-03T09:30:00.260000,DEMO,99.980000,100.000000,326,308
2025-09-03T09:30:00.270000,DEMO,99.980000,100.000000,327,311
2025-09-03T09:30:00.280000,DEMO,99.990000,100.010000,328,314
2025-09-03T09:30:00.290000,DEMO,99.990000,100.010000,329,317
2025-09-03T09:30:00.300000,DEMO,99.990000,100.010000,330,320
2025-09-03T09:30:00.310000,DEMO,99.990000,100.010000,331,323
2025-09-03T09:30:00.320000,DEMO,99.990000,100.010000,332,326
2025-09-03T09:30:00.330000,DEMO,99.990000,100.010000,333,329
2025-09-03T09:30:00.340000,DEMO,99.990000,100.010000,334,282
2025-09-03T09:30:00.350000,DEMO,100.000000,100.020000,335,285
2025-09-03T09:30:00.360000,DEMO,100.000000,100.020000,336,288
2025-09-03T09:30:00.370000,DEMO,100.000000,100.020000,337,291
2025-09-03T09:30:00.380000,DEMO,100.000000,100.020000,338,294
2025-09-03T09:30:00.390000,DEMO,99.980000,100.000000,339,297
2025-09-03T09:30:00.400000,DEMO,99.980000,100.000000,340,300
2025-09-03T09:30:00.410000,DEMO,99.980000,100.000000,341,303
2025-09-03T09:30:00.420000,DEMO,99.990000,100.010000,342,306
2025-09-03T09:30:00.430000,DEMO,99.990000,100.010000,343,309
2025-09-03T09:30:00.440000,DEMO,99.990000,100.010000,344,312
2025-09-03T09:30:00.450000,DEMO,99.990000,100.010000,345,315
2025-09-03T09:30:00.460000,DEMO,99.990000,100.010000,346,318
2025-09-03T09:30:00.470000,DEMO,99.990000,100.010000,347,321
